
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-11 20:03:23 /api/reseller/online-users ........................................................... ~ 0.15ms
  2026-03-11 20:03:26 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:03:27 /api/online-widget/settings ........................................................ ~ 513.94ms
  2026-03-11 20:03:27 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:28 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:28 /api/manager/team ........................................................................ ~ 1s
  2026-03-11 20:03:29 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:29 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:03:30 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:30 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:31 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:31 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:32 /api/manager/customers ................................................................... ~ 1s
  2026-03-11 20:03:32 /api/manager/online-users ................................................................ ~ 1s
  2026-03-11 20:03:36 /api/online-widget/settings ........................................................ ~ 513.27ms
  2026-03-11 20:03:36 /api/manager/reports/financial ........................................................... ~ 1s
  2026-03-11 20:03:36 /api/manager/reports/retention ........................................................... ~ 1s
  2026-03-11 20:03:36 /api/manager/online-users ................................................................ ~ 2s
  2026-03-11 20:03:40 /api/online-widget/settings ........................................................ ~ 505.21ms
  2026-03-11 20:03:40 /api/manager/online-users ................................................................ ~ 1s
  2026-03-11 20:03:43 /api/auth/login .......................................................................... ~ 1s
  2026-03-11 20:03:44 /api/online-widget/settings ........................................................ ~ 502.12ms
  2026-03-11 20:03:44 /api/manager/dashboard ................................................................... ~ 1s
  2026-03-11 20:03:45 /api/manager/online-users ................................................................ ~ 1s
  2026-03-11 20:03:45 /api/online-widget/settings .............................................................. ~ 1s
  2026-03-11 20:03:46 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:46 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:47 /api/team ................................................................................ ~ 1s
  2026-03-11 20:03:47 /api/programs ............................................................................ ~ 1s
  2026-03-11 20:03:48 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:48 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:49 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:49 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:50 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:50 /api/customers ........................................................................... ~ 1s
  2026-03-11 20:03:51 /api/online-users .................................................................. ~ 515.67ms
  2026-03-11 20:03:54 /api/online-widget/settings ........................................................ ~ 506.44ms
  2026-03-11 20:03:54 /api/financial-reports ................................................................... ~ 1s
  2026-03-11 20:03:54 /api/reports/retention ................................................................... ~ 1s
  2026-03-11 20:03:54 /api/online-users ........................................................................ ~ 2s
  2026-03-11 20:03:59 /api/online-widget/settings ........................................................ ~ 500.58ms
  2026-03-11 20:03:59 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:04:02 /api/online-widget/settings ........................................................ ~ 501.16ms
  2026-03-11 20:04:02 /api/bios-conflicts ...................................................................... ~ 1s
  2026-03-11 20:04:02 /api/online-users ........................................................................ ~ 1s
  2026-03-11 20:04:06 /api/online-widget/settings ........................................................ ~ 508.46ms
